time,open,high,low,close,Volume,Volume MA
2008-12-23T09:30:00-05:00,9.73,9.73,9.16,9.27,80228,167749.6
2008-12-24T09:30:00-05:00,9.24,9.24,9.05,9.13,28037,143068.4
2008-12-26T09:30:00-05:00,9.255,9.255,8.97,9.06,34499,100222.6
2008-12-29T09:30:00-05:00,9.06,9.19,7.22,7.7,675202,186261.4
2008-12-30T09:30:00-05:00,7.7,8.07,7.055,8.06,737762,311145.6
2008-12-31T09:30:00-05:00,8.17,8.35,7.8,8.28,398071,374714.2
2009-01-02T09:30:00-05:00,8.31,8.62,7.98,8.3,333581,435823
2009-01-05T09:30:00-05:00,8.32,8.77,8.05,8.75,299391,488801.4
2009-01-06T09:30:00-05:00,8.87,9.17,8.68,8.99,186962,391153.4
2009-01-07T09:30:00-05:00,8.89,8.93,8.5,8.78,157859,275172.8
2009-01-08T09:30:00-05:00,7.1,7.2,6.59,6.97,1650988,525756.2
2009-01-09T09:30:00-05:00,7.12,7.12,6.55,6.91,318744,522788.8
2009-01-12T09:30:00-05:00,6.88,6.99,6.73,6.78,431126,549135.8
2009-01-13T09:30:00-05:00,6.74,6.9,6.64,6.8,209347,553612.8
2009-01-14T09:30:00-05:00,6.69,6.8,6.39,6.47,483582,618757.4
2009-01-15T09:30:00-05:00,6.45,6.5,5.94,6.11,375727,363705.2
2009-01-16T09:30:00-05:00,6.22,6.22,5.8,6.05,583548,416666
2009-01-20T09:30:00-05:00,6.11,6.19,5.53,5.94,341156,398672
2009-01-21T09:30:00-05:00,6.04,6.6,6.02,6.5,359884,428779.4
2009-01-22T09:30:00-05:00,6.4,6.63,6.4,6.54,260299,384122.8
2009-01-23T09:30:00-05:00,6.48,6.6,6.39,6.5,296868,368351
2009-01-26T09:30:00-05:00,6.49,6.6,6.32,6.51,227478,297137
2009-01-27T09:30:00-05:00,6.51,6.8,6.41,6.59,130325,254970.8
2009-01-28T09:30:00-05:00,6.65,6.89,6.59,6.89,226072,228208.4
2009-01-29T09:30:00-05:00,6.84,6.84,6.36,6.43,146733,205495.2
2009-01-30T09:30:00-05:00,6.5,6.5,5.7703,5.83,276890,201499.6
2009-02-02T09:30:00-05:00,5.75,6.29,5.73,6.15,128318,181667.6
2009-02-03T09:30:00-05:00,6.18,6.2,5.8,6.1,173026,190207.8
2009-02-04T09:30:00-05:00,6.07,6.23,5.9,5.92,94348,163863
2009-02-05T09:30:00-05:00,5.88,6.25,5.86,6.17,352174,204951.2
2009-02-06T09:30:00-05:00,6.18,6.85,6.16,6.75,476829,244939
2009-02-09T09:30:00-05:00,6.7,6.8599,6.59,6.69,226187,264512.8
2009-02-10T09:30:00-05:00,6.67,6.91,6.43,6.51,273506,284608.8
2009-02-11T09:30:00-05:00,6.48,6.54,6.08,6.18,165565,298852.2
2009-02-12T09:30:00-05:00,6.31,6.33,6,6.2,201702,268757.8
2009-02-13T09:30:00-05:00,6.19,6.55,6.14,6.3,230709,219533.8
2009-02-17T09:30:00-05:00,6.09,6.2,5.83,5.96,295980,233492.4
2009-02-18T09:30:00-05:00,6.02,6.5,5.86,6.34,186603,216111.8
2009-02-19T09:30:00-05:00,6.44,6.44,5.86,5.89,120895,207177.8
2009-02-20T09:30:00-05:00,5.83,5.97,5.332,5.51,234085,213654.4
2009-02-23T09:30:00-05:00,5.54,5.9,5.48,5.58,139573,195427.2
2009-02-24T09:30:00-05:00,5.68,5.9,5.61,5.89,155220,167275.2
2009-02-25T09:30:00-05:00,5.86,5.93,5.58,5.67,171774,164309.4
2009-02-26T09:30:00-05:00,5.7,5.86,5.36,5.37,118736,163877.6
2009-02-27T09:30:00-05:00,5.27,5.91,5.21,5.6,121874,141435.4
2009-03-02T09:30:00-05:00,5.49,5.64,5.3204,5.47,148480,143216.8
2009-03-03T09:30:00-05:00,5.49,5.57,5.03,5.16,181444,148461.6
2009-03-04T09:30:00-05:00,5.26,5.33,4.86,4.92,163722,146851.2
2009-03-05T09:30:00-05:00,4.88,5.01,4.52,4.62,116246,146353.2
2009-03-06T09:30:00-05:00,4.66,4.66,4.11,4.4,281229,178224.2
